year,series_id,label,value,unit,frequency,geography,industry_code,industry_name,measure,source_id
2024,iip_production_1102000000,金属製品工業・生産,95.6,index_2020_100,calendar_year,Japan,1102000000,金属製品工業,production,industry-iip-annual-20260914
2025,iip_production_1102000000,金属製品工業・生産,92.9,index_2020_100,calendar_year,Japan,1102000000,金属製品工業,production,industry-iip-annual-20260914
2018,iip_production_1102001000,建設用金属製品・生産,107.6,index_2020_100,calendar_year,Japan,1102001000,建設用金属製品,production,industry-iip-annual-20260914
2019,iip_production_1102001000,建設用金属製品・生産,110.7,index_2020_100,calendar_year,Japan,1102001000,建設用金属製品,production,industry-iip-annual-20260914
2020,iip_production_1102001000,建設用金属製品・生産,100.0,index_2020_100,calendar_year,Japan,1102001000,建設用金属製品,production,industry-iip-annual-20260914
2021,iip_production_1102001000,建設用金属製品・生産,94.3,index_2020_100,calendar_year,Japan,1102001000,建設用金属製品,production,industry-iip-annual-20260914
2022,iip_production_1102001000,建設用金属製品・生産,91.9,index_2020_100,calendar_year,Japan,1102001000,建設用金属製品,production,industry-iip-annual-20260914
2023,iip_production_1102001000,建設用金属製品・生産,97.5,index_2020_100,calendar_year,Japan,1102001000,建設用金属製品,production,industry-iip-annual-20260914
2024,iip_production_1102001000,建設用金属製品・生産,93.9,index_2020_100,calendar_year,Japan,1102001000,建設用金属製品,production,industry-iip-annual-20260914
2025,iip_production_1102001000,建設用金属製品・生産,79.5,index_2020_100,calendar_year,Japan,1102001000,建設用金属製品,production,industry-iip-annual-20260914
2018,iip_production_1102002000,建築用金属製品・生産,113.2,index_2020_100,calendar_year,Japan,1102002000,建築用金属製品,production,industry-iip-annual-20260914
2019,iip_production_1102002000,建築用金属製品・生産,113.1,index_2020_100,calendar_year,Japan,1102002000,建築用金属製品,production,industry-iip-annual-20260914
2020,iip_production_1102002000,建築用金属製品・生産,100.0,index_2020_100,calendar_year,Japan,1102002000,建築用金属製品,production,industry-iip-annual-20260914
2021,iip_production_1102002000,建築用金属製品・生産,102.1,index_2020_100,calendar_year,Japan,1102002000,建築用金属製品,production,industry-iip-annual-20260914
2022,iip_production_1102002000,建築用金属製品・生産,101.7,index_2020_100,calendar_year,Japan,1102002000,建築用金属製品,production,industry-iip-annual-20260914
2023,iip_production_1102002000,建築用金属製品・生産,94.9,index_2020_100,calendar_year,Japan,1102002000,建築用金属製品,production,industry-iip-annual-20260914
2024,iip_production_1102002000,建築用金属製品・生産,90.0,index_2020_100,calendar_year,Japan,1102002000,建築用金属製品,production,industry-iip-annual-20260914
2025,iip_production_1102002000,建築用金属製品・生産,87.3,index_2020_100,calendar_year,Japan,1102002000,建築用金属製品,production,industry-iip-annual-20260914
2018,iip_production_1102003000,暖房・調理等装置・生産,110.7,index_2020_100,calendar_year,Japan,1102003000,暖房・調理等装置,production,industry-iip-annual-20260914
